Date,AQI,PM10,CO,NO,NO2,O3,SO2,PM2_5,NH3,City,Latitude,Longitude
2021-10-26,1,7.8725,278.7116667,0.337916667,22.23833333,47.17833333,3.027916667,4.10125,0.651666667,Amsterdam,52.3727598,4.8936041
2022-02-06,1,3.206666667,242.27375,0.05875,5.042083333,72.92791667,1.229583333,1.385,0.436666667,Amsterdam,52.3727598,4.8936041
2022-08-21,1,10.60333333,203.54,2.79625,18.92833333,40.25458333,2.225,5.074166667,3.158333333,Amsterdam,52.3727598,4.8936041
2022-08-29,1,5.565,187.4758333,2.316666667,14.40666667,48.56166667,0.85,2.417916667,3.159583333,Amsterdam,52.3727598,4.8936041
2021-08-31,1,14.77541667,326.69375,0.292083333,6.324166667,67.97958333,0.926666667,4.835416667,1.98125,Amsterdam,52.3727598,4.8936041
2022-08-27,1,7.4,176.2125,0.408333333,6.491666667,62.585,0.658333333,2.515833333,2.400833333,Amsterdam,52.3727598,4.8936041
2021-11-17,1,7.391666667,274.6770833,0.226666667,16.66833333,54.69458333,2.78375,3.725833333,0.563333333,Amsterdam,52.3727598,4.8936041
2021-10-27,1,9.049583333,279.8258333,0.270416667,19.08958333,50.29208333,2.945416667,5.11,1.150833333,Amsterdam,52.3727598,4.8936041
2022-06-27,1,7.7725,198.46375,4.384583333,23.43458333,38.44125,2.910416667,5.66625,2.25375,Amsterdam,52.3727598,4.8936041
2021-01-16,1,7.920416667,337.4025,2.179583333,32.88791667,11.86666667,3.28125,7.180416667,1.210833333,Amsterdam,52.3727598,4.8936041
2021-06-28,1,8.297083333,173.1529167,1.647916667,14.01666667,46.82,1.397916667,5.267916667,3.63375,Amsterdam,52.3727598,4.8936041
2022-01-31,1,5.8025,251.3141667,0.013333333,3.822916667,74.74583333,0.93,1.785416667,0.301666667,Amsterdam,52.3727598,4.8936041
2021-12-07,1,3.659583333,283.8579167,0.885416667,22.5775,42.915,2.081666667,2.073333333,0.742916667,Amsterdam,52.3727598,4.8936041
2021-03-01,1,10.53875,251.1741667,0.91375,23.77958333,41.23791667,1.143333333,7.932083333,6.810833333,Amsterdam,52.3727598,4.8936041
2022-02-03,1,8.360416667,260.63125,0.132916667,23.76958333,41.97625,3.742916667,5.678333333,1.02625,Amsterdam,52.3727598,4.8936041
2022-08-05,1,4.79625,169.1179167,0.564583333,7.120833333,62.73416667,1.474166667,2.299166667,1.7325,Amsterdam,52.3727598,4.8936041
2022-04-08,1,3.53125,252.8433333,0.31625,7.725,73.315,2.258333333,1.789583333,1.444166667,Amsterdam,52.3727598,4.8936041
2021-03-14,1,2.734347826,231.9069565,0.301304348,7.985652174,70.46913043,1.912608696,1.744782609,1.58,Amsterdam,52.3727598,4.8936041
2020-12-15,1,7.895,319.1833333,12.20083333,33.45875,3.52375,3.585833333,6.29875,0.99625,Amsterdam,52.3727598,4.8936041
